time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
6800,51.5197982788086,5.8603892326355,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.4150418476,2.3073491552,12.4592523672,26,4,112.25287990443,16.0104992,2.5130455042,2.3073491552,0,0,0,329.5,-3.7,4.6,0,0,1024,1024,1024,1024,0,0,0,0,329.86,0,112.18726310443,15.9448824,5,GPS_Blake
7000,51.5197982788086,5.8603892326355,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.034218694874,2.3073491552,12.4592523672,26,4,112.25287990443,16.0104992,2.5130455042,2.3073491552,0,0,0,329.4,-3.5,-0.1,0,0,1024,1024,1024,1024,0,0,0,0,329.86,0,112.18726310443,15.9448824,5,GPS_Blake
7200,51.5197982788086,5.86038875579834,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.13468168352,2.39458340996,12.5675200872,26,4,112.25287990443,16.0104992,2.5130455042,2.39458340996,0,0,0,329.4,-2.8,-1,0,0,1024,1024,1024,1024,0,0,0,0,329.86,0,112.18726310443,15.9448824,5,GPS_Blake
7400,51.5197982788086,5.86038827896118,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.1197545829,2.48347120808,12.6757878072,26,4,112.25287990443,16.0104992,2.5130455042,2.48347120808,0,0,0,329.4,-2.7,-0.7,0,0,1024,1024,1024,987,0,0,0,-6,329.86,0,112.18726310443,15.9448824,5,GPS_Blake
7600,51.5197982788086,5.86038827896118,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.11931502419,2.48347120808,12.6757878072,26,4,112.25287990443,16.0104992,2.5130455042,2.48347120808,0,0,0,329.3,-2.5,-0.6,0,0,1024,1024,1024,502,0,0,0,-79,329.86,0,112.18726310443,15.9448824,5,GPS_Blake
7800,51.5197982788086,5.86038827896118,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.113996251952,2.48347120808,12.6757878072,26,4,112.25287990443,16.0104992,2.5130455042,2.48347120808,0,0,0,328.9,-2.8,-0.5,0,0,1024,1024,1024,359,0,0,0,-100,329.82,0,112.18726310443,15.9448824,5,GPS_Blake
8000,51.5197982788086,5.86038780212402,15.9776908,16.1745412,96.045530304428,112.22007150443,0,0.093684836752,2.57384194588,12.7840227188,26,5,112.25287990443,16.0104992,2.5130455042,2.57384194588,0,0,0,320,-2.4,-0.7,0,0,1024,1024,1024,359,0,0,0,-100,329.82,0,112.22007150443,15.9776908,5,GPS_Blake
8200,51.5197982788086,5.86038780212402,15.9448824,16.1417328,96.045530304428,112.18726310443,0,0.100488266068,2.57384194588,12.7840227188,26,5,112.25287990443,16.0104992,2.5130455042,2.57384194588,0,0,0,304.4,-2.8,-1,0,0,1024,1024,1024,359,0,0,0,-100,327.6,0,112.18726310443,15.9448824,5,GPS_Blake
8400,51.5197944641113,5.86038780212402,15.9448824,16.1745412,96.012721904428,112.18726310443,0,0.171093026982,3.5264436824,14.1758206636,26,5,112.25287990443,16.0104992,2.5130455042,3.5264436824,0,0,0,286.5,-2.7,0.1,0,0,1024,1024,1024,359,0,0,0,-100,316.31,0,112.18726310443,15.9448824,5,GPS_Blake
8600,51.5197944641113,5.86038732528687,15.9448824,16.2073496,95.979913504428,112.18726310443,0,0.24558469484,3.5939305612,14.2840555752,26,5,112.25287990443,16.0104992,2.5130455042,3.5939305612,0,0,0,267.5,-1.7,1.4,0,0,1024,1024,1024,359,0,0,0,-100,282.35,0,112.18726310443,15.9448824,5,GPS_Blake
